Rank|Name|Rarity|Set
#1274|Sauron, Lord of the Rings|C|CUSTOM
#1275|Cooped Up|C|CUSTOM
#1276|Mnemonic Wall|C|CUSTOM
#1277|Enduring Vitality|C|CUSTOM
#1278|Release the Dogs|C|CUSTOM
#1279|Conduit of Worlds|C|CUSTOM
#1280|Witch-king of Angmar|C|CUSTOM
#1281|The Fourteenth Doctor|C|CUSTOM
#1282|Play with Fire|C|CUSTOM
#1283|Clarion Spirit|C|CUSTOM
#1284|Blood Baron of Vizkopa|C|CUSTOM
#1285|Applejack|C|CUSTOM
#1286|Kadena, Slinking Sorcerer|C|CUSTOM
#1287|Seven Dwarves|C|CUSTOM
#1288|The Locust God|C|CUSTOM
#1289|Venser, Shaper Savant|C|CUSTOM
#1290|Kaldra Compleat|C|CUSTOM
#1291|Pashalik Mons|C|CUSTOM
#1292|Dread Presence|C|CUSTOM
#1293|Azure Beastbinder|C|CUSTOM
#1294|Dune Chanter|C|CUSTOM
#1295|Eternal Witness|C|CUSTOM
#1296|Sarulf's Packmate|C|CUSTOM
#1297|Herald of Anafenza|C|CUSTOM
#1298|Caustic Exhale|C|CUSTOM
#1299|Corsair Captain|C|CUSTOM
#1300|Gimli of the Glittering Caves|C|CUSTOM
#1301|Change the Equation|C|CUSTOM
#1302|Summon: Good King Mog XII|C|CUSTOM
#1303|Crow Storm|C|CUSTOM
#1304|Great Train Heist|C|CUSTOM
#1305|The Mightstone and Weakstone|C|CUSTOM
#1306|The Aetherspark|C|CUSTOM
#1307|Ally Encampment|C|CUSTOM
#1308|Tireless Provisioner|C|CUSTOM
#1309|Flametongue Yearling|C|CUSTOM
#1310|Culling the Weak|C|CUSTOM
#1311|Whiskervale Forerunner|C|CUSTOM
#1312|Talisman of Dominance|C|CUSTOM
#1313|Honest Rutstein|C|CUSTOM
#1314|Sidequest: Raise a Chocobo|C|CUSTOM
#1315|Black Chocobo|C|CUSTOM
#1316|Sleep Magic|C|CUSTOM
#1317|Panoptic Projektor|C|CUSTOM
#1318|Imotekh the Stormlord|C|CUSTOM
#1319|Fae of Wishes|C|CUSTOM
#1320|Glimmerpost|C|CUSTOM
#1321|Valley Flamecaller|C|CUSTOM
#1322|Solaflora, Intergalactic Icon|C|CUSTOM
#1323|Sivitri, Dragon Master|C|CUSTOM
#1324|Cityscape Leveler|C|CUSTOM
#1325|Bristlebud Farmer|C|CUSTOM
#1326|Rustrazor Butcher|C|CUSTOM
#1327|Pumpkin Bombs|C|CUSTOM
#1328|Nullpriest of Oblivion|C|CUSTOM
#1329|Phyrexian Fleshgorger|C|CUSTOM
#1330|Preacher|C|CUSTOM
#1331|Dispelling Exhale|C|CUSTOM
#1332|Make an Example|C|CUSTOM
#1333|Powder Keg|C|CUSTOM
#1334|Cloak of the Philosopher|C|CUSTOM
#1335|Mauhúr, Uruk-hai Captain|C|CUSTOM
#1336|Gush|C|CUSTOM
#1337|Powerbalance|C|CUSTOM
#1338|Flame Lash|C|CUSTOM
#1339|Orb of Dragonkind|C|CUSTOM
#1340|Momentum Breaker|C|CUSTOM
#1341|Ethersworn Canonist|C|CUSTOM
#1342|Thriving Moor|C|CUSTOM
#1343|Visara the Dreadful|C|CUSTOM
#1344|Cranial Ram|C|CUSTOM
#1345|Oskar, Rubbish Reclaimer|C|CUSTOM
#1346|Slaying Fire|C|CUSTOM
#1347|Infernal Tutor|C|CUSTOM
#1348|Euroakus|C|CUSTOM
#1349|Infernal Idol|C|CUSTOM
#1350|Gild|C|CUSTOM
#1351|Avian Oddity|C|CUSTOM
#1352|Argent Dais|C|CUSTOM
#1353|Wild Mongrel|C|CUSTOM
#1354|Cavern of Souls|C|CUSTOM
#1355|Exit Through the Grift Shop|C|CUSTOM
#1356|Ureni's Rebuff|C|CUSTOM
#1357|Tireless Tracker|C|CUSTOM
#1358|Oblivion Ring|C|CUSTOM
#1359|Shadowspear|C|CUSTOM
#1360|Deeproot Wayfinder|C|CUSTOM
#1361|Wolverine, Best There Is|C|CUSTOM
#1362|Rampaging Baloths|C|CUSTOM
#1363|No-Regrets Egret|C|CUSTOM
#1364|Tragic Fall|C|CUSTOM
#1365|Phial of Galadriel|C|CUSTOM
#1366|Ancient Craving|C|CUSTOM
#1367|Jace, Memory Adept|C|CUSTOM
#1368|Lin Sivvi, Defiant Hero|C|CUSTOM
#1369|Curse of Shallow Graves|C|CUSTOM
#1370|Kinnan, Bonder Prodigy|C|CUSTOM
#1371|Bronze Calendar|C|CUSTOM
#1372|Agent's Toolkit|C|CUSTOM
#1373|Lita, Mechanical Engineer|C|CUSTOM
#1374|Jecht, Reluctant Guardian|C|CUSTOM
#1375|Braska's Final Aeon|C|CUSTOM
#1376|Banner of Kinship|C|CUSTOM
#1377|Honden of Seeing Winds|C|CUSTOM
#1378|Abyssal Harvester|C|CUSTOM
#1379|Mist Raven|C|CUSTOM
#1380|Sudden Shock|C|CUSTOM
#1381|Icebind Pillar|C|CUSTOM
#1382|Eldrazi Monument|C|CUSTOM
#1383|Demonic Counsel|C|CUSTOM
#1384|Puncture Blast|C|CUSTOM
#1385|Path of the Ghosthunter|C|CUSTOM
#1386|Wanderer's Intervention|C|CUSTOM
#1387|Lotus Cobra|C|CUSTOM
#1388|Emrakul's Messenger|C|CUSTOM
#1389|Copper Myr|C|CUSTOM
#1390|Ruthless Technomancer|C|CUSTOM
#1391|Portent Tracker|C|CUSTOM
#1392|Jet Medallion|C|CUSTOM
#1393|Skyshroud War Beast|C|CUSTOM
#1394|Mesmeric Fiend|C|CUSTOM
#1395|Strength-Testing Hammer|C|CUSTOM
#1396|Hover Barrier|C|CUSTOM
#1397|Skyknight Squire|C|CUSTOM
#1398|Sunken Hollow|C|CUSTOM
#1399|Snow-Covered Plains|C|CUSTOM
#1400|Case of the Filched Falcon|C|CUSTOM
#1401|District Guide|C|CUSTOM
#1402|Heart Warden|C|CUSTOM
#1403|Disciple of the Vault|C|CUSTOM
#1404|Heat Shimmer|C|CUSTOM
#1405|Maraxus|C|CUSTOM
#1406|Sauté|C|CUSTOM
#1407|Garruk, Unleashed|C|CUSTOM
#1408|Foreboding Ruins|C|CUSTOM
#1409|Aura Shards|C|CUSTOM
#1410|Hex Parasite|C|CUSTOM
#1411|Legion Loyalty|C|CUSTOM
#1412|Shadowborn Demon|C|CUSTOM
#1413|Opt|C|CUSTOM
#1414|High Fae Trickster|C|CUSTOM
#1415|Trail of Mystery|C|CUSTOM
#1416|Ulamog, the Infinite Gyre|C|CUSTOM
#1417|Magma Jet|C|CUSTOM
#1418|Felidar Retreat|C|CUSTOM
#1419|Atsushi, the Blazing Sky|C|CUSTOM
#1420|The Restoration of Eiganjo|C|CUSTOM
#1421|Architect of Restoration|C|CUSTOM
#1422|Clockwork Percussionist|C|CUSTOM
#1423|Osteomancer Adept|C|CUSTOM
#1424|Broodspinner|C|CUSTOM
#1425|Burakos, Party Leader|C|CUSTOM
#1426|Mangara, the Diplomat|C|CUSTOM
#1427|Goblin Lackey|C|CUSTOM
#1428|Selvala, Heart of the Wilds|C|CUSTOM
#1429|Fight with Fire|C|CUSTOM
#1430|Surging Might|C|CUSTOM
#1431|Deranged Hermit|C|CUSTOM
#1432|Niv-Mizzet, Visionary|C|CUSTOM
#1433|Ineffable Blessing|C|CUSTOM
#1434|Nowhere to Run|C|CUSTOM
#1435|Utopia Sprawl|C|CUSTOM
#1436|Kodama of the West Tree|C|CUSTOM
#1437|Swinging Ship|C|CUSTOM
#1438|Norn's Annex|C|CUSTOM
#1439|Ivora, Insatiable Heir|C|CUSTOM
#1440|Helm of Obedience|C|CUSTOM
#1441|Kykar, Zephyr Awakener|C|CUSTOM
#1442|Majestic Genesis|C|CUSTOM
#1443|Bontu the Glorified|C|CUSTOM
#1444|Pack Rat|C|CUSTOM
#1445|Timeless Dragon|C|CUSTOM
#1446|Descendant of Storms|C|CUSTOM
#1447|Conduit of Ruin|C|CUSTOM
#1448|Salvation Engine|C|CUSTOM
#1449|Vault 21: House Gambit|C|CUSTOM
#1450|Memory Bank|C|CUSTOM
#1451|No Rest for the Wicked|C|CUSTOM
#1452|Grim Bauble|C|CUSTOM
#1453|Woodfall Primus|C|CUSTOM
#1454|Deceiver Exarch|C|CUSTOM
#1455|Merchant Scroll|C|CUSTOM
#1456|Paradise Druid|C|CUSTOM
#1457|Silver Myr|C|CUSTOM
#1458|Veronica, Dissident Scribe|C|CUSTOM
#1459|Wood Elves|C|CUSTOM
#1460|Ashenmoor Liege|C|CUSTOM
#1461|Honored Hierarch|C|CUSTOM
#1462|Thought Vessel|C|CUSTOM
#1463|Sword of Once and Future|C|CUSTOM
#1464|Inspiring Veteran|C|CUSTOM
#1465|Mistvein Borderpost|C|CUSTOM
#1466|Within Range|C|CUSTOM
#1467|Takenuma, Abandoned Mire|C|CUSTOM
#1468|Noble Templar|C|CUSTOM
#1469|Sylvan Tutor|C|CUSTOM
#1470|Jace Beleren|C|CUSTOM
#1471|Jeweled Bird|C|CUSTOM
#1472|Sword of Hearth and Home|C|CUSTOM
#1473|Botanical Sanctum|C|CUSTOM
#1474|Avalanche Riders|C|CUSTOM
#1475|Reckless Detective|C|CUSTOM
#1476|Ugin's Labyrinth|C|CUSTOM
#1477|Transcendent Dragon|C|CUSTOM
#1478|Chandra, Flame's Catalyst|C|CUSTOM
#1479|Aether Channeler|C|CUSTOM
#1480|Krenko, Tin Street Kingpin|C|CUSTOM
#1481|Stoke the Flames|C|CUSTOM
#1482|Iymrith, Desert Doom|C|CUSTOM
#1483|Chandra's Outrage|C|CUSTOM
#1484|Kaito, Cunning Infiltrator|C|CUSTOM
#1485|Darkblast|C|CUSTOM
#1486|Gifts Ungiven|C|CUSTOM
#1487|Nim Deathmantle|C|CUSTOM
#1488|"Lifetime" Pass Holder|C|CUSTOM
#1489|Clifftop Lookout|C|CUSTOM
#1490|Mirari's Wake|C|CUSTOM
#1491|Forsaken Miner|C|CUSTOM
#1492|Skyclave Relic|C|CUSTOM
#1493|Icefeather Aven|C|CUSTOM
#1494|Weight of Spires|C|CUSTOM
#1495|Bloodbraid Elf|C|CUSTOM
#1496|Grand Crescendo|C|CUSTOM
#1497|Rangers of Ithilien|C|CUSTOM
#1498|Beacon of Destruction|C|CUSTOM
#1499|Concordant Crossroads|C|CUSTOM
#1500|Summoning Station|C|CUSTOM
#1501|Zenith Chronicler|C|CUSTOM
#1502|Sylvan Scavenging|C|CUSTOM
#1503|Old One Eye|C|CUSTOM
#1504|Firemane Commando|C|CUSTOM
#1505|War Effort|C|CUSTOM
#1506|Rock Slide|C|CUSTOM
#1507|Price of Fame|C|CUSTOM
#1508|Pre-War Formalwear|C|CUSTOM
#1509|Murmuration|C|CUSTOM
#1510|Renewed Solidarity|C|CUSTOM
#1511|Aesthetic Consultation|C|CUSTOM
#1512|Bastion of Remembrance|C|CUSTOM
#1513|Night's Whisper|C|CUSTOM
#1514|Druid of the Anima|C|CUSTOM
#1515|Long Goodbye|C|CUSTOM
#1516|Thragtusk|C|CUSTOM
#1517|Wither and Bloom|C|CUSTOM
#1518|Midnight Clock|C|CUSTOM
#1519|Diabolic Servitude|C|CUSTOM
#1520|Endless Ranks of the Dead|C|CUSTOM
#1521|Jacked Rabbit|C|CUSTOM
#1522|Floral Evoker|C|CUSTOM
#1523|Rampant Growth|C|CUSTOM
#1524|Deal Damage|C|CUSTOM
#1525|R&D's Secret Lair|C|CUSTOM
#1526|Ninja's Blades|C|CUSTOM
#1527|Pitiless Plunderer|C|CUSTOM
#1528|Blackmail|C|CUSTOM
#1529|Squirrel Squatters|C|CUSTOM
#1530|Scholar of New Horizons|C|CUSTOM
#1531|Snarling Gorehound|C|CUSTOM
#1532|Hourglass of the Lost|C|CUSTOM
#1533|Lockjaw Snapper|C|CUSTOM
#1534|Kozilek, Butcher of Truth|C|CUSTOM
#1535|Meteor Shower|C|CUSTOM
#1536|Doom Whisperer|C|CUSTOM
#1537|Slickshot Show-Off|C|CUSTOM
#1538|Rain of Riches|C|CUSTOM
#1539|Unstable Amulet|C|CUSTOM
#1540|Narset's Reversal|C|CUSTOM
#1541|Agent of Treachery|C|CUSTOM
#1542|Dragonkin Berserker|C|CUSTOM
#1543|Surprise Party|C|CUSTOM
#1544|Karn, Legacy Reforged|C|CUSTOM
#1545|Thrasios, Triton Hero|C|CUSTOM
#1546|Snap|C|CUSTOM
#1547|Lingering Souls|C|CUSTOM
#1548|Lightning Helix|C|CUSTOM
#1549|Vengeful Strangler|C|CUSTOM
#1550|Strangling Grasp|C|CUSTOM
#1551|Selfie Preservation|C|CUSTOM
#1552|Inspiring Leader|C|CUSTOM
#1553|Tahngarth|C|CUSTOM
#1554|Stirring Bard|C|CUSTOM
#1555|Journey to Eternity|C|CUSTOM
#1556|Atzal, Cave of Eternity|C|CUSTOM
#1557|Staff of the Storyteller|C|CUSTOM
#1558|Unexpected Windfall|C|CUSTOM
#1559|Energy Chamber|C|CUSTOM
#1560|Locket of Yesterdays|C|CUSTOM
#1561|Liliana, Death Mage|C|CUSTOM
#1562|Basri's Lieutenant|C|CUSTOM
#1563|Elspeth, Sun's Nemesis|C|CUSTOM
#1564|Welcoming Vampire|C|CUSTOM
#1565|Somberwald Sage|C|CUSTOM
#1566|Thought Scour|C|CUSTOM
#1567|Sapling of Colfenor|C|CUSTOM
#1568|Akuta, Born of Ash|C|CUSTOM
#1569|Seachrome Coast|C|CUSTOM
#1570|Omnath, Locus of Mana|C|CUSTOM
#1571|Fealty to the Realm|C|CUSTOM
#1572|Angelic Sleuth|C|CUSTOM
#1573|Storm Fleet Negotiator|C|CUSTOM
#1574|Arcane Sanctum|C|CUSTOM
#1575|Tenacious Underdog|C|CUSTOM
#1576|Horn of Greed|C|CUSTOM
#1577|Cloudshredder Sliver|C|CUSTOM
#1578|The Parting of the Ways|C|CUSTOM
#1579|Kenessos, Priest of Thassa|C|CUSTOM
#1580|Memnite|C|CUSTOM
#1581|Thoughtcast|C|CUSTOM
#1582|Inferno Titan|C|CUSTOM
#1583|Paleontologist's Pick-Axe|C|CUSTOM
#1584|Dinosaur Headdress|C|CUSTOM
#1585|Angrath, Minotaur Pirate|C|CUSTOM
#1586|Lightning Bolt Art Card|C|CUSTOM
#1587|Soul Shatter|C|CUSTOM
#1588|Scorned Villager|C|CUSTOM
#1589|Moonscarred Werewolf|C|CUSTOM
#1590|Urabrask, Heretic Praetor|C|CUSTOM
#1591|Wave of Rats|C|CUSTOM
#1592|Migratory Greathorn|C|CUSTOM
#1593|Clifftop Retreat|C|CUSTOM
#1594|Ghastly Demise|C|CUSTOM
#1595|Chill to the Bone|C|CUSTOM
#1596|Navigation Orb|C|CUSTOM
#1597|Arahbo, the First Fang|C|CUSTOM
#1598|Needle Specter|C|CUSTOM
#1599|Black Panther, Wakandan King|C|CUSTOM
#1600|Yuna, Hope of Spira|C|CUSTOM
#1601|Scavenger's Talent|C|CUSTOM
#1602|Sunken Citadel|C|CUSTOM
#1603|Eat to Extinction|C|CUSTOM
#1604|Tectonic Reformation|C|CUSTOM
#1605|Blood for Bones|C|CUSTOM
#1606|Suspicious Stowaway|C|CUSTOM
#1607|Seafaring Werewolf|C|CUSTOM
#1608|Reckless Pyrosurfer|C|CUSTOM
#1609|Khenra Spellspear|C|CUSTOM
#1610|Gitaxian Spellstalker|C|CUSTOM
#1611|Krark's Other Thumb|C|CUSTOM
#1612|The Philosopher|C|CUSTOM
#1613|Cephalid Illusionist|C|CUSTOM
#1614|Clara Oswald|C|CUSTOM
#1615|Eldrazi Temple|C|CUSTOM
#1616|Royal Warden|C|CUSTOM
#1617|Lightning Colt|C|CUSTOM
#1618|Piper of the Swarm|C|CUSTOM
#1619|Victimize|C|CUSTOM
#1620|Dissection Tools|C|CUSTOM
#1621|Austere Command|C|CUSTOM
#1622|Arc Trail|C|CUSTOM
#1623|Stitch Together|C|CUSTOM
#1624|Dismissive Pyromancer|C|CUSTOM
#1625|Boltwave|C|CUSTOM
#1626|Polluted Cistern // Dim Oubliette|C|CUSTOM
#1627|Impale|C|CUSTOM
#1628|Aerith Gainsborough|C|CUSTOM
#1629|Surtr, Fiery Jötun|C|CUSTOM
#1630|Chandra's Defeat|C|CUSTOM
#1631|Thopter Spy Network|C|CUSTOM
#1632|Gurmag Angler|C|CUSTOM
#1633|Search for Azcanta|C|CUSTOM
#1634|Azcanta, the Sunken Ruin|C|CUSTOM
#1635|Winds of Change|C|CUSTOM
#1636|Anvil of Bogardan|C|CUSTOM
#1637|Norwood Priestess|C|CUSTOM
#1638|Lurebound Scarecrow|C|CUSTOM
#1639|Raise the Palisade|C|CUSTOM
#1640|Vedalken Aethermage|C|CUSTOM
#1641|Urza's Hot Tub|C|CUSTOM
#1642|Shrike Force|C|CUSTOM
#1643|Coming Attraction|C|CUSTOM
#1644|Irregular Cohort|C|CUSTOM
#1645|Puncture Bolt|C|CUSTOM
#1646|Alpha Guard|C|CUSTOM
#1647|Maestros' Totally Safe Hideout|C|CUSTOM
#1648|Condescend|C|CUSTOM
#1649|Elspeth, Knight-Errant|C|CUSTOM
#1650|Elder Gargaroth|C|CUSTOM
#1651|Moltensteel Dragon|C|CUSTOM
#1652|Killer Service|C|CUSTOM
#1653|Drain the Well|C|CUSTOM
#1654|Sanctum of Stone Fangs|C|CUSTOM
#1655|Harvester of Misery|C|CUSTOM
#1656|Char|C|CUSTOM
#1657|Dragonspark Reactor|C|CUSTOM
#1658|Dawn's Truce|C|CUSTOM
#1659|Liliana's Other Contract|C|CUSTOM
#1660|Liliana's Undead Minion|C|CUSTOM
#1661|Gonti, Night Minister|C|CUSTOM
#1662|Roots of All Evil|C|CUSTOM
#1663|Marauding Mako|C|CUSTOM
#1664|Nissa, Who Shakes the World|C|CUSTOM
#1665|Fiend Hunter|C|CUSTOM
#1666|Chainsaw|C|CUSTOM
#1667|Aether Spike|C|CUSTOM
#1668|Zombify|C|CUSTOM
#1669|Dream Devourer|C|CUSTOM
#1670|Guul Draz Specter|C|CUSTOM
#1671|Ob Nixilis, the Fallen|C|CUSTOM
#1672|Inspiring Vantage|C|CUSTOM
#1673|Bastion Protector|C|CUSTOM
#1674|Argothian Enchantress|C|CUSTOM
#1675|The Meep|C|CUSTOM
#1676|Knight of Grace|C|CUSTOM
#1677|Jetmir's Garden|C|CUSTOM
#1678|Scurry Oak|C|CUSTOM
#1679|Plea for Power|C|CUSTOM
#1680|Tato Farmer|C|CUSTOM
#1681|Pip-Boy 3000|C|CUSTOM
#1682|Tome Scour|C|CUSTOM
#1683|Lizard Blades|C|CUSTOM
#1684|Pathrazer of Ulamog|C|CUSTOM
#1685|Dusk Rose Reliquary|C|CUSTOM
#1686|Arena Rector|C|CUSTOM
#1687|Tribute to the World Tree|C|CUSTOM
#1688|Thought Courier|C|CUSTOM
#1689|Fetid Pools|C|CUSTOM
#1690|Bovine Intervention|C|CUSTOM
#1691|Darksteel Mutation|C|CUSTOM
#1692|Nantuko Elder|C|CUSTOM
#1693|Extinguish the Light|C|CUSTOM
#1694|Glimpse the Impossible|C|CUSTOM
#1695|Vexing Devil|C|CUSTOM
#1696|Omnath, Locus of Creation|C|CUSTOM
#1697|Secluded Glen|C|CUSTOM
#1698|Sage of the Maze|C|CUSTOM
#1699|Onakke Oathkeeper|C|CUSTOM
#1700|Conductive Machete|C|CUSTOM
#1701|Triumph of the Hordes|C|CUSTOM
#1702|Falkenrath Noble|C|CUSTOM
#1703|Sphinx of the Second Sun|C|CUSTOM
#1704|Greenweaver Druid|C|CUSTOM
#1705|Timeless Witness|C|CUSTOM
#1706|Ashiok, Nightmare Muse|C|CUSTOM
#1707|Sail into the West|C|CUSTOM
#1708|Railway Brawler|C|CUSTOM
#1709|Phyrexian Dragon Engine|C|CUSTOM
#1710|Chancellor of the Annex|C|CUSTOM
#1711|Dreadhorde Invasion|C|CUSTOM
#1712|Flame of Anor|C|CUSTOM
#1713|Retrofitted Transmogrant|C|CUSTOM
#1714|Heraldic Banner|C|CUSTOM
#1715|Graveyard Trespasser|C|CUSTOM
#1716|Graveyard Glutton|C|CUSTOM
#1717|Thing in the Ice|C|CUSTOM
#1718|Awoken Horror|C|CUSTOM
#1719|Ambling Stormshell|C|CUSTOM
#1720|Pain Distributor|C|CUSTOM
#1721|Orzhov Enforcer|C|CUSTOM
#1722|Circuitous Route|C|CUSTOM
#1723|Invasion of New Phyrexia|C|CUSTOM
#1724|Teferi Akosa of Zhalfir|C|CUSTOM
#1725|Legion's End|C|CUSTOM
#1726|Ainok Wayfarer|C|CUSTOM
#1727|Mahamoti Djinn|C|CUSTOM
#1728|Galazeth Prismari|C|CUSTOM
#1729|Gleeful Arsonist|C|CUSTOM
#1730|My First Tome|C|CUSTOM
#1731|Come Back Wrong|C|CUSTOM
#1732|The First Iroan Games|C|CUSTOM
#1733|Resculpt|C|CUSTOM
#1734|Idolized|C|CUSTOM
#1735|Ganax, Astral Hunter|C|CUSTOM
#1736|Coiling Rebirth|C|CUSTOM
#1737|Reki, the History of Kamigawa|C|CUSTOM
#1738|Emet-Selch, Unsundered|C|CUSTOM
#1739|Hades, Sorcerer of Eld|C|CUSTOM
#1740|Metallic Mimic|C|CUSTOM
#1741|Life // Death|C|CUSTOM
#1742|Warleader's Call|C|CUSTOM
#1743|Scurry of Squirrels|C|CUSTOM
#1744|Consign to Memory|C|CUSTOM
#1745|Valiant Rescuer|C|CUSTOM
#1746|Chittering Witch|C|CUSTOM
#1747|Meet and Greet "Sisay"|C|CUSTOM
#1748|Jace, Architect of Thought|C|CUSTOM
#1749|Purphoros, God of the Forge|C|CUSTOM
#1750|Order of Midnight|C|CUSTOM
#1751|Hour of Victory|C|CUSTOM
#1752|Jurin, Leading the Charge|C|CUSTOM
#1753|Tyrite Sanctum|C|CUSTOM
#1754|Heroic Intervention|C|CUSTOM
#1755|Razortide Bridge|C|CUSTOM
#1756|Stormcarved Coast|C|CUSTOM
#1757|Sigrid, God-Favored|C|CUSTOM
#1758|Cybermen Squadron|C|CUSTOM
#1759|Tributary Instructor|C|CUSTOM
#1760|Vivid Crag|C|CUSTOM
#1761|Knight Paladin|C|CUSTOM
#1762|Breeches, Eager Pillager|C|CUSTOM
#1763|Dour Port-Mage|C|CUSTOM
#1764|Brigid, Hero of Kinsbaile|C|CUSTOM
#1765|Alliance of Arms|C|CUSTOM
#1766|Threefold Thunderhulk|C|CUSTOM
#1767|Feast of Succession|C|CUSTOM
#1768|Eagles of the North|C|CUSTOM
#1769|Dig Through Time|C|CUSTOM
#1770|Umbral Mantle|C|CUSTOM
#1771|Fear, Fire, Foes!|C|CUSTOM
#1772|Wandering Archaic|C|CUSTOM
#1773|Hateflayer|C|CUSTOM
#1774|Electrostatic Infantry|C|CUSTOM
#1775|Elvish Rejuvenator|C|CUSTOM
#1776|Tetravus|C|CUSTOM
#1777|Ajani, Adversary of Tyrants|C|CUSTOM
#1778|Party Thrasher|C|CUSTOM
#1779|Obelisk of Urd|C|CUSTOM
#1780|Nissa, Genesis Mage|C|CUSTOM
#1781|Soul Reap|C|CUSTOM
#1782|Surging Aether|C|CUSTOM
#1783|Tome of Legends|C|CUSTOM
#1784|Parallax Tide|C|CUSTOM
#1785|Vorinclex, Voice of Hunger|C|CUSTOM
#1786|Backdraft|C|CUSTOM
#1787|Ezio, Brash Novice|C|CUSTOM
#1788|Eldrazi Displacer|C|CUSTOM
#1789|Hullbreaker Horror|C|CUSTOM
#1790|Ertai's Meddling|C|CUSTOM
#1791|Combustible Gearhulk|C|CUSTOM
#1792|Equilibrium|C|CUSTOM
#1793|Cascade Bluffs|C|CUSTOM
#1794|March of the Canonized|C|CUSTOM
#1795|Anchor to the Aether|C|CUSTOM
#1796|Skirsdag High Priest|C|CUSTOM
#1797|Portable Hole|C|CUSTOM
#1798|Ardyn, the Usurper|C|CUSTOM
#1799|Campfire|C|CUSTOM
#1800|Reassembling Skeleton|C|CUSTOM
#1801|Sage of the Skies|C|CUSTOM
#1802|Rofellos|C|CUSTOM
#1803|Rise of the Eldrazi|C|CUSTOM
#1804|Call Forth the Tempest|C|CUSTOM
#1805|The War in Heaven|C|CUSTOM
#1806|Master of Etherium|C|CUSTOM
#1807|Gruff Triplets|C|CUSTOM
#1808|Staggershock|C|CUSTOM
#1809|Hell's Caretaker|C|CUSTOM
#1810|Howlsquad Heavy|C|CUSTOM
#1811|Tempest Technique|C|CUSTOM
#1812|Spirit of the Night|C|CUSTOM
#1813|Night Scythe|C|CUSTOM
#1814|Pinkie Pie|C|CUSTOM
#1815|Flitting Guerrilla|C|CUSTOM
#1816|Cavern-Hoard Dragon|C|CUSTOM
#1817|Topography Tracker|C|CUSTOM
#1818|Eradicate|C|CUSTOM
#1819|Eyeblight's Ending|C|CUSTOM
#1820|Skinrender|C|CUSTOM
#1821|Underground River|C|CUSTOM
#1822|Enduring Curiosity|C|CUSTOM
#1823|Struggle for Project Purity|C|CUSTOM
#1824|Gideon, Champion of Justice|C|CUSTOM
#1825|Vincent Valentine|C|CUSTOM
#1826|Galian Beast|C|CUSTOM
#1827|Serene Remembrance|C|CUSTOM
#1828|Kuldotha Forgemaster|C|CUSTOM
#1829|Shuko|C|CUSTOM
#1830|Ancient Brass Dragon|C|CUSTOM
#1831|Pili-Pala|C|CUSTOM
#1832|Riptide Gearhulk|C|CUSTOM
#1833|Nahiri's Binding|C|CUSTOM
#1834|Zanarkand, Ancient Metropolis|C|CUSTOM
#1835|Finders, Keepers|C|CUSTOM
#1836|Ghost-Lit Raider|C|CUSTOM
#1837|Rishadan Port|C|CUSTOM
#1838|Liliana of the Dark Realms|C|CUSTOM
#1839|Refurbished Familiar|C|CUSTOM
#1840|Rakshasa Debaser|C|CUSTOM
#1841|Lumra, Bellow of the Woods|C|CUSTOM
#1842|Cliffgate|C|CUSTOM
#1843|Kroxa, Titan of Death's Hunger|C|CUSTOM
#1844|Cloud's Limit Break|C|CUSTOM
#1845|Minamo, School at Water's Edge|C|CUSTOM
#1846|Body Launderer|C|CUSTOM
#1847|Loxodon Anchorite|C|CUSTOM
#1848|Brood Sliver|C|CUSTOM
#1849|Rograkh, Son of Rohgahh|C|CUSTOM
#1850|Skywhaler's Shot|C|CUSTOM
#1851|Druid Class|C|CUSTOM
#1852|Archpriest of Shadows|C|CUSTOM
#1853|Psychic Spiral|C|CUSTOM
#1854|Guild Globe|C|CUSTOM
#1855|Flare of Cultivation|C|CUSTOM
#1856|Zell Dincht|C|CUSTOM
#1857|Dalek Squadron|C|CUSTOM
#1858|Pyramid of the Pantheon|C|CUSTOM
#1859|Collector's Vault|C|CUSTOM
#1860|Den of the Bugbear|C|CUSTOM
#1861|Sunbaked Canyon|C|CUSTOM
#1862|Priest of Ancient Lore|C|CUSTOM
#1863|Nesting Bot|C|CUSTOM
#1864|Dream's Grip|C|CUSTOM
#1865|Rise of the Dark Realms|C|CUSTOM
#1866|Nettlecyst|C|CUSTOM
#1867|Diregraf Horde|C|CUSTOM
#1868|Archaeomancer's Map|C|CUSTOM
#1869|Praetor's Grasp|C|CUSTOM
#1870|Emissary Green|C|CUSTOM
#1871|Searslicer Goblin|C|CUSTOM
#1872|Song of Freyalise|C|CUSTOM
#1873|Raucous Theater|C|CUSTOM
#1874|Aether Hub|C|CUSTOM
#1875|Gallia of the Endless Dance|C|CUSTOM
#1876|Flamekin Herald|C|CUSTOM
#1877|Lucky Clover|C|CUSTOM
#1878|Liliana, the Necromancer|C|CUSTOM
#1879|Adelbert Steiner|C|CUSTOM
#1880|Aether Vial|C|CUSTOM
#1881|Ozolith, the Shattered Spire|C|CUSTOM
#1882|Beastmaster Ascension|C|CUSTOM
#1883|Rilsa Rael, Kingpin|C|CUSTOM
#1884|Crime Novelist|C|CUSTOM
#1885|Harvester of Souls|C|CUSTOM
#1886|Scion of Darkness|C|CUSTOM
