Abandon Hope|TMP=66
Lance|LEB=688
Land Cap|ICE=114
Land Equilibrium|LEG=6016
Land Grant|MMQ=134
Land Leeches|4ED=64
Land Leeches|DRK=60
Land Tax|4ED=6640
Land Tax|LEG=11896
Land's Edge|CHR=141
Land's Edge|LEG=960
Landbind Ritual|ZEN=19
Landslide|UDS=42
Lantern Kami|CHK=14
Lantern of Insight|5DN=40
Lantern Spirit|ISD=19
Lantern-Lit Graveyard|CHK=23
Lapis Lazuli Talisman|ICE=60
Lapse of Certainty|CFX=15
Laquatus's Champion|TOR=306
Laquatus's Creativity|ODY=40
Laquatus's Disdain|JUD=44
Larceny|8ED=80
Larceny|MMQ=46
Lash Out|COM=15
Lash Out|LRW=15
Lashknife Barrier|PLS=52
Lashknife|NMS=30
Lashwrithe|NPH=57
Last Breath|MMQ=42
Last Breath|SHM=13
Last Caress|APC=30
Last Chance|POR=1623
Last Chance|S99=1386
Last Gasp|RAV=15
Last Laugh|TOR=82
Last Rites|ODY=28
Last Stand|APC=98
Last Stand|PC2=37
Last Thoughts|GTC=15
Last Word|DST=170
Last-Ditch Effort|ULG=50
Lat-Nam's Legacy|ALL=48
Latch Seeker|AVR=21
Latchkey Faerie|MOR=14
Latulla's Orders|PCY=30
Latulla, Keldon Overseer|PCY=78
Launch Party|RTR=13
Launch|USG=28
Lava Axe|10E=16
Lava Axe|7ED=32
Lava Axe|8ED=30
Lava Axe|9ED=16
Lava Axe|M11=13
Lava Axe|M12=13
Lava Axe|PO2=38
Lava Axe|POR=51
Lava Axe|S00=1466
Lava Axe|S99=36
Lava Axe|ULG=30
Lava Blister|ODY=64
Lava Burst|ICE=51
Lava Dart|JUD=32
Lava Flow|POR=81
Lava Hounds|8ED=82
Lava Hounds|WTH=69
Lava Runner|MMQ=100
Lava Spike|CHK=300
Lava Storm|WTH=45
Lava Tubes|ICE=120
Lava Zombie|PLS=28
Lavaball Trap|ZEN=35
Lavaborn Muse|10E=40
Lavaborn Muse|LGN=84
Lavaclaw Reaches|WWK=126
Lavacore Elemental|PLC=20
Lavalanche|ARB=43
Lavamancer's Skill|ONS=26
Lawbringer|NMS=28
Lay of the Land|APC=30
Lay Waste|ONS=26
Lay Waste|USG=30
Lazav, Dimir Mastermind|GTC=800
Lead Astray|JUD=28
Lead Golem|6ED=50
Lead Golem|MIR=60
Lead the Stampede|MBS=20
Lead-Belly Chimera|VIS=63
Leaden Fists|FUT=14
Leaden Myr|MRD=30
Leaden Myr|SOM=12
Leaf Dancer|ODY=28
Leaf Gilder|LRW=13
Leaf-Crowned Elder|MOR=332
Leafdrake Roost|DIS=20
Leap of Faith|AVR=13
Leap of Flame|GPT=13
Leaping Lizard|HML=51
Leap|STH=30
Leashling|RAV=18
Leatherback Baloth|WWK=47
Leave No Trace|RAV=15
Leech Bonder|SHM=20
Leeches|HML=879
Leeching Bite|NPH=13
Leeching Licid|TMP=69
Leechridden Swamp|SHM=50
Leering Emblem|EVE=39
Leering Gargoyle|MIR=111
Leery Fogbeast|ONS=26
Legacy Weapon|10E=74
Legacy Weapon|APC=154
Legacy's Allure|TMP=114
Legerdemain|TMP=72
Legion Loyalist|GTC=429
Legions of Lim-Dul|ICE=48
Leonin Abunas|MRD=198
Leonin Arbiter|SOM=38
Leonin Armorguard|ARB=14
Leonin Battlemage|DST=40
Leonin Bladetrap|MRD=36
Leonin Bola|DST=26
Leonin Den-Guard|MRD=28
Leonin Elder|MRD=30
Leonin Relic-Warder|MBS=18
Leonin Scimitar|10E=23
Leonin Scimitar|MRD=30
Leonin Shikari|DST=750
Leonin Skyhunter|9ED=36
Leonin Skyhunter|MBS=12
Leonin Skyhunter|MRD=60
Leonin Squire|5DN=26
Leonin Sun Standard|MRD=106
Leshrac's Rite|5ED=96
Leshrac's Rite|6ED=50
Leshrac's Rite|7ED=48
Leshrac's Rite|ICE=63
Leshrac's Sigil|ICE=60
Lesser Gargadon|8ED=46
Lesser Gargadon|PCY=40
Lesser Werewolf|LEG=280
Lethal Vapors|SCG=106
Lethargy Trap|ZEN=13
Leveler|MRD=302
Leviathan|4ED=156
Leviathan|5ED=123
Leviathan|DRK=400
Leviathan|TSB=30
Levitation|7ED=54
Levitation|9ED=22
Levitation|M12=18
Levitation|ULG=44
Ley Druid|2ED=172
Ley Druid|3ED=96
Ley Druid|4ED=92
Ley Druid|5ED=48
Ley Druid|9ED=25
Ley Druid|LEA=2072
Ley Druid|LEB=752
Ley Line|MMQ=40
Leyline of Anticipation|M11=89
Leyline of Lifeforce|GPT=82
Leyline of Lightning|GPT=37
Leyline of Punishment|M11=50
Leyline of Sanctity|M11=1249
Leyline of Singularity|GPT=69
Leyline of the Meek|GPT=176
Leyline of the Void|GPT=210
Leyline of the Void|M11=155
Leyline of Vitality|M11=56
Leyline Phantom|GTC=15
Lhurgoyf|5ED=180
Lhurgoyf|8ED=94
Lhurgoyf|COM=41
Lhurgoyf|ICE=168
Liability|MMQ=90
Liar's Pendulum|MRD=72
Liberated Dwarf|JUD=28
Liberate|INV=46
Library of Alexandria|ARN=89732
Library of Lat-Nam|6ED=100
Library of Lat-Nam|ALL=135
Library of Leng|2ED=408
Library of Leng|3ED=140
Library of Leng|4ED=140
Library of Leng|5ED=126
Library of Leng|LEA=10364
Library of Leng|LEB=4028
Lich Lord of Unx|ARB=472
Lich's Mirror|ALA=224
Lich's Tomb|DST=76
Lichenthrope|VIS=120
Lich|2ED=12056
Lich|LEA=57748
Lich|LEB=29756
Liege of the Axe|LGN=40
Liege of the Hollows|WTH=168
Liege of the Pit|TSP=37
Liege of the Tangle|SOM=143
Lieutenant Kirtar|ODY=190
Life // Death|APC=74
Life and Limb|PLC=56
Life Burst|ODY=30
Life Chisel|LEG=304
Life from the Loam|RAV=1042
Life Matrix|LEG=1424
Life's Finale|NPH=54
Lifeblood|LEG=1152
Lifeforce|2ED=244
Lifeforce|3ED=108
Lifeforce|4ED=104
Lifeforce|5ED=102
Lifeforce|LEA=2364
Lifeforce|LEB=924
Lifegift|BOK=70
Lifelace|2ED=736
Lifelace|3ED=168
Lifelace|4ED=148
Lifelace|LEA=72300
Lifelace|LEB=5252
Lifeline|USG=748
Lifelink|M12=13
Lifesmith|SOM=16
Lifespark Spellbomb|MRD=26
Lifespinner|BOK=23
Lifetap|2ED=200
Lifetap|3ED=88
Lifetap|4ED=92
Lifetap|5ED=102
Lifetap|LEA=2132
Lifetap|LEB=780
Lifted by Clouds|CHK=14
Light from Within|EVE=187
Light of Day|6ED=96
Light of Day|TMP=108
Light of Sanction|RAV=35
Lightbringer|NMS=28
Lightkeeper of Emeria|COM=20
Lightkeeper of Emeria|WWK=21
Lightning Angel|APC=176
Lightning Angel|TSB=83
Lightning Axe|TSP=18
Lightning Blast|6ED=32
Lightning Blast|7ED=32
Lightning Blast|8ED=46
Lightning Blast|TMP=45
Lightning Blow|ICE=117
Lightning Bolt|2ED=1028
Lightning Bolt|3ED=384
Lightning Bolt|4ED=404
Lightning Bolt|LEA=14628
Lightning Bolt|LEB=9488
Lightning Bolt|M11=97
Lightning Cloud|VIS=117
Lightning Coils|MRD=82
Lightning Crafter|MOR=184
Lightning Dart|INV=46
Lightning Dragon|USG=440
Lightning Elemental|10E=16
Lightning Elemental|7ED=28
Lightning Elemental|8ED=30
Lightning Elemental|9ED=17
Lightning Elemental|M12=12
Lightning Elemental|TMP=45
Lightning Greaves|COM=254
Lightning Greaves|MRD=588
Lightning Helix|RAV=306
Lightning Hounds|MMQ=28
Lightning Hounds|PRO=320
Lightning Mauler|AVR=46
Lightning Prowess|AVR=19
Lightning Reaver|ARB=69
Lightning Reflexes|MIR=42
Lightning Rift|ONS=46
Lightning Serpent|CSP=128
Lightning Storm|CSP=24
Lightning Surge|JUD=78
Lightning Talons|ALA=13
Lignify|LRW=15
Liliana of the Dark Realms|M13=1013
Liliana of the Veil|ISD=2527
Liliana Vess|LRW=734
Liliana Vess|M11=716
Liliana Vess|PRO=4995
Liliana's Caress|M11=194
Liliana's Shade|M13=14
Liliana's Specter|M11=15
Liliana's Specter|PC2=16
Lilting Refrain|USG=54
Lim-Dul the Necromancer|TSP=94
Lim-Dul's Cohort|ICE=45
Lim-Dul's Hex|ICE=69
Lim-Dul's High Guard|ALL=45
Lim-Dul's Paladin|ALL=75
Lim-Dul's Vault|ALL=573
Limestone Golem|ODY=40
Limited Resources|EXO=150
Lin Sivvi, Defiant Hero|NMS=304
Linessa, Zephyr Mage|FUT=49
Lingering Death|SCG=28
Lingering Mirage|USG=50
Lingering Souls|DKA=220
Lingering Tormentor|EVE=18
Lion's Eye Diamond|MIR=20256
Lionheart Maverick|GPT=12
Liquid Fire|ODY=38
Liquify|TOR=28
Liquimetal Coating|SOM=20
Lithatog|ODY=40
Lithophage|MMQ=78
Liu Bei, Lord of Shu|PTK=1894
Livewire Lash|SOM=77
Living Airship|APC=28
Living Armor|CHR=45
Living Armor|DRK=84
Living Artifact|2ED=676
Living Artifact|3ED=168
Living Artifact|4ED=156
Living Artifact|5ED=120
Living Artifact|LEA=33596
Living Artifact|LEB=7868
Living Death|COM=244
Living Death|TMP=1059
Living End|TSP=260
Living Hive|MRD=82
Living Inferno|GPT=38
Living Lands|2ED=652
Living Lands|3ED=172
Living Lands|4ED=148
Living Lands|5ED=126
Living Lands|6ED=88
Living Lands|LEA=36744
Living Lands|LEB=5924
Living Plane|LEG=6256
Living Terrain|8ED=44
Living Terrain|PCY=42
Living Tsunami|ZEN=19
Living Wall|2ED=300
Living Wall|3ED=92
Living Wall|LEA=4276
Living Wall|LEB=1736
Living Wish|JUD=960
Livonya Silone|LEG=2596
Lizard Warrior|POR=48
Llanowar Augur|FUT=14
Llanowar Behemoth|8ED=44
Llanowar Behemoth|9ED=25
Llanowar Behemoth|WTH=63
Llanowar Cavalry|INV=30
Llanowar Dead|APC=34
Llanowar Druid|WTH=51
Llanowar Elite|INV=30
Llanowar Elves|10E=36
Llanowar Elves|2ED=348
Llanowar Elves|3ED=112
Llanowar Elves|4ED=112
Llanowar Elves|5ED=102
Llanowar Elves|6ED=64
Llanowar Elves|7ED=68
Llanowar Elves|9ED=31
Llanowar Elves|LEA=5248
Llanowar Elves|LEB=3936
Llanowar Elves|M11=19
Llanowar Elves|M12=16
Llanowar Empath|FUT=14
Llanowar Knight|INV=32
Llanowar Mentor|FUT=28
Llanowar Reborn|FUT=46
Llanowar Sentinel|10E=16
Llanowar Sentinel|WTH=48
Llanowar Vanguard|INV=30
Llanowar Wastes|10E=231
Llanowar Wastes|9ED=217
Llanowar Wastes|APC=400
Llawan, Cephalid Empress|TOR=1152
Loafing Giant|INV=78
Loam Dweller|BOK=23
Loam Lion|WWK=28
Loamdragger Giant|SHM=13
Loaming Shaman|DIS=85
Lobber Crew|RTR=13
Lobotomy|INV=72
Lobotomy|TMP=108
Loch Korrigan|SHM=13
Locket of Yesterdays|TSP=21
Lockjaw Snapper|SHM=20
Locust Miser|SOK=33
Locust Swarm|MIR=60
Lodestone Bauble|ALL=144
Lodestone Golem|WWK=78
Lodestone Myr|MRD=150
Logic Knot|FUT=14
Lone Revenant|AVR=36
Lone Wolf|7ED=34
Lone Wolf|8ED=36
Lone Wolf|PO2=66
Lone Wolf|PTK=2446
Lone Wolf|S99=40
Lone Wolf|ULG=44
Lonely Sandbar|COM=20
Lonely Sandbar|ONS=34
Long-Forgotten Gohei|CHK=52
Long-Term Plans|SCG=84
Longbow Archer|6ED=92
Longbow Archer|7ED=74
Longbow Archer|VIS=108
Longhorn Firebeast|TOR=28
Looming Hoverguard|MRD=38
Looming Shade|10E=15
Looming Shade|7ED=28
Looming Shade|8ED=30
Looming Shade|9ED=16
Looming Shade|USG=30
Looter il-Kor|TSP=17
Lord Magnus|LEG=320
Lord of Atlantis|2ED=3108
Lord of Atlantis|3ED=1604
Lord of Atlantis|4ED=1604
Lord of Atlantis|5ED=1236
Lord of Atlantis|6ED=868
Lord of Atlantis|7ED=844
Lord of Atlantis|LEA=68316
Lord of Atlantis|LEB=27308
Lord of Atlantis|TSB=501
Lord of Extinction|ARB=1423
Lord of Tresserhorn|ALL=252
Lord of the Pit|10E=48
Lord of the Pit|2ED=2524
Lord of the Pit|3ED=268
Lord of the Pit|4ED=200
Lord of the Pit|5ED=198
Lord of the Pit|LEA=57372
Lord of the Pit|LEB=30380
Lord of the Undead|10E=873
Lord of the Undead|8ED=1696
Lord of the Undead|9ED=821
Lord of the Undead|PLS=1592
Lord of the Unreal|M12=62
Lord of the Void|GTC=260
Lore Broker|RAV=23
Lorescale Coatl|ARB=71
Lorthos, the Tidemaker|ZEN=101
Lose Hope|5DN=24
Lost Auramancers|FUT=35
Lost Hours|FUT=14
Lost in Thought|JUD=30
Lost in the Mist|ISD=13
Lost in the Woods|DKA=33
Lost Leonin|NPH=13
Lost Order of Jarkeld|ICE=132
Lost Soul|4ED=64
Lost Soul|5ED=54
Lost Soul|6ED=28
Lost Soul|LEG=84
Lotleth Troll|RTR=303
Lotus Bloom|TSP=977
Lotus Blossom|USG=336
Lotus Cobra|ZEN=576
Lotus Guardian|INV=96
Lotus Petal|TMP=921
Lotus Vale|WTH=1668
Lovisa Coldeyes|CSP=53
Lowland Basilisk|STH=30
Lowland Giant|TMP=45
Lowland Oaf|LRW=13
Lowland Tracker|LGN=28
Loxodon Anchorite|5DN=24
Loxodon Convert|NPH=13
Loxodon Gatekeeper|RAV=68
Loxodon Hierarch|RAV=106
Loxodon Mender|MRD=26
Loxodon Mystic|10E=16
Loxodon Mystic|DST=26
Loxodon Partisan|MBS=12
Loxodon Peacekeeper|MRD=72
Loxodon Punisher|MRD=76
Loxodon Smiter|RTR=294
Loxodon Stalwart|5DN=38
Loxodon Warhammer|10E=202
Loxodon Warhammer|9ED=198
Loxodon Warhammer|MRD=298
Loxodon Wayfarer|SOM=12
Loyal Cathar|DKA=15
Loyal Gyrfalcon|EVE=18
Loyal Retainers|PTK=28642
Loyal Sentry|10E=76
Loyal Sentry|S99=572
Lu Bu, Master-at-Arms|PTK=4162
Lu Meng, Wu General|PTK=2998
Lu Su, Wu Advisor|PTK=2812
Lu Xun, Scholar General|PTK=4498
Lucent Liminid|FUT=15
Ludevic's Test Subject|ISD=38
Lullmage Mentor|ZEN=38
Lull|USG=32
Lumbering Satyr|MMQ=42
Lumberknot|ISD=18
Lumberknot|PC2=17
Lumengrid Augur|MRD=74
Lumengrid Drake|SOM=12
Lumengrid Gargoyle|MBS=16
Lumengrid Sentinel|MRD=38
Lumengrid Warden|10E=15
Lumengrid Warden|9ED=16
Lumengrid Warden|MRD=26
Luminarch Ascension|ZEN=229
Luminate Primordial|GTC=49
Luminescent Rain|MOR=14
Luminesce|10E=20
Luminesce|CSP=19
Luminous Angel|MRD=146
Luminous Guardian|ODY=40
Lumithread Field|FUT=14
Lunar Avenger|5DN=38
Lunar Mystic|AVR=33
Lunge|MMQ=28
Lunk Errant|MOR=14
Lure of Prey|MIR=153
Lurebound Scarecrow|SHM=19
Lure|10E=26
Lure|2ED=192
Lure|3ED=96
Lure|4ED=104
Lure|5ED=111
Lure|6ED=52
Lure|7ED=44
Lure|8ED=48
Lure|CHK=21
Lure|ICE=66
Lure|LEA=3420
Lure|LEB=888
Lure|M12=18
Lure|MMQ=46
Lurker|DRK=164
Lurking Crocodile|M12=12
Lurking Evil|USG=90
Lurking Informant|RAV=13
Lurking Jackals|UDS=42
Lurking Nightstalker|PO2=34
Lurking Skirge|ULG=78
Lush Growth|ALA=14
Lux Cannon|SOM=112
Lyev Skyknight|RTR=26
Lymph Sliver|FUT=15
Lynx|PO2=44
Lynx|S99=98
Lys Alana Bowmaster|MOR=15
Lys Alana Huntmaster|LRW=46
Lys Alana Scarblade|LRW=18
Lyzolda, the Blood Witch|DIS=49
Ma Chao, Western Warrior|PTK=3182
Maalfeld Twins|AVR=19
Macabre Waltz|DIS=14
Macetail Hystrodon|LGN=26
Machinate|DST=26
Mad Auntie|LRW=100
Mad Dog|ODY=26
Mad Prophet|AVR=13
Madblind Mountain|SHM=19
Madcap Skills|GTC=14
Maddening Imp|TMP=120
Maddening Wind|ICE=63
Madrush Cyclops|ARB=38
Maelstrom Archangel|CFX=701
Maelstrom Djinn|FUT=34
Maelstrom Nexus|ARB=396
Maelstrom Pulse|ARB=1146
Maelstrom Wanderer|PC2=764
Maga, Traitor to Mortals|SOK=79
Mage il-Vec|EXO=30
Mage Slayer|ARB=41
Mage's Guile|ONS=26
Magefire Wings|ARB=13
Mages' Contest|INV=76
Mageta the Lion|PCY=206
Mageta's Boon|PCY=28
Magewright's Stone|DIS=24
Maggot Carrier|8ED=30
Maggot Carrier|PLS=28
Maggot Therapy|MMQ=30
Magical Hack|2ED=896
Magical Hack|3ED=168
Magical Hack|4ED=156
Magical Hack|5ED=135
Magical Hack|LEA=31900
Magical Hack|LEB=7648
Magister Sphinx|CFX=52
Magistrate's Scepter|MMQ=844
Magistrate's Veto|MMQ=42
Magma Burst|PLS=28
Magma Giant|5DN=74
Magma Giant|PO2=226
Magma Jet|5DN=662
Magma Mine|VIS=66
Magma Phoenix|M11=35
Magma Rift|ZEN=13
Magma Sliver|LGN=868
Magma Spray|ALA=14
Magma Vein|ODY=40
Magmaquake|M13=54
Magmasaur|TMP=120
Magmatic Core|CSP=20
Magmatic Force|COM=81
Magnetic Flux|DST=26
Magnetic Mine|MBS=32
Magnetic Mountain|3ED=156
Magnetic Mountain|4ED=152
Magnetic Mountain|ARN=616
Magnetic Theft|5DN=38
Magnetic Web|TMP=111
Magnify|UDS=30
Magnigoth Treefolk|PLS=72
Magnivore|9ED=52
Magnivore|ODY=134
Magosi, the Waterveil|ZEN=35
Magus of the Abyss|FUT=48
Magus of the Arena|PLC=37
Magus of the Bazaar|PLC=45
Magus of the Candelabra|TSP=68
Magus of the Coffers|PLC=98
Magus of the Disk|TSP=97
Magus of the Future|FUT=133
Magus of the Jar|TSP=43
Magus of the Library|PLC=42
Magus of the Mirror|TSP=41
Magus of the Moat|FUT=242
Magus of the Moon|FUT=438
Magus of the Scroll|TSP=42
Magus of the Tabernacle|PLC=51
Magus of the Unseen|5ED=186
Magus of the Unseen|ICE=183
Magus of the Vineyard|COM=39
Magus of the Vineyard|FUT=46
Mahamoti Djinn|10E=38
Mahamoti Djinn|2ED=3404
Mahamoti Djinn|3ED=248
Mahamoti Djinn|4ED=180
Mahamoti Djinn|7ED=90
Mahamoti Djinn|8ED=80
Mahamoti Djinn|9ED=40
Mahamoti Djinn|LEA=52740
Mahamoti Djinn|LEB=18128
Major Teroh|TOR=106
Make a Wish|ISD=18
Makeshift Mannequin|LRW=28
Makeshift Mauler|ISD=13
Makindi Shieldmate|ZEN=14
Malach of the Dawn|PLC=21
Malachite Golem|MRD=26
Malachite Talisman|ICE=63
Malakir Bloodwitch|ZEN=97
Malevolent Awakening|ODY=42
Malfegor|CFX=117
Malfegor|COM=100
Malicious Advice|PLS=28
Malicious Intent|AVR=13
Malignant Growth|MIR=123
Malignus|AVR=86
Mammoth Harness|HML=114
Mammoth Umbra|PC2=19
Man-o'-War|POR=159
Man-o'-War|S99=224
Man-o'-War|VIS=81
Mana Bloom|RTR=38
Mana Breach|7ED=50
Mana Breach|EXO=46
Mana Cache|NMS=76
Mana Chains|WTH=45
Mana Clash|4ED=156
Mana Clash|5ED=123
Mana Clash|7ED=82
Mana Clash|8ED=74
Mana Clash|9ED=40
Mana Clash|DRK=220
Mana Crypt|PRO=39130
Mana Cylix|CFX=14
Mana Cylix|PLS=46
Mana Drain|LEG=57608
Mana Echoes|ONS=400
Mana Flare|2ED=2856
Mana Flare|3ED=1008
Mana Flare|4ED=1024
Mana Flare|5ED=828
Mana Flare|LEA=54660
Mana Flare|LEB=23460
Mana Geyser|5DN=28
Mana Leak|8ED=90
Mana Leak|9ED=47
Mana Leak|M11=44
Mana Leak|M12=39
Mana Leak|STH=106
Mana Leech|USG=46
Mana Matrix|LEG=2548
Mana Maze|INV=88
Mana Prism|6ED=52
Mana Prism|MIR=60
Mana Reflection|SHM=1093
Mana Seism|CHK=20
Mana Severance|TMP=237
Mana Short|2ED=1948
Mana Short|3ED=396
Mana Short|4ED=372
Mana Short|6ED=204
Mana Short|7ED=192
Mana Short|LEA=38340
Mana Short|LEB=16788
Mana Skimmer|TSP=13
Mana Tithe|PLC=23
Mana Vapors|PCY=52
Mana Vault|2ED=4420
Mana Vault|3ED=1500
Mana Vault|4ED=1496
Mana Vault|5ED=1236
Mana Vault|LEA=199996
Mana Vault|LEB=101900
Mana Vortex|DRK=1424
Mana Web|WTH=630
Mana-Charged Dragon|COM=186
Manabarbs|10E=56
Manabarbs|2ED=1220
Manabarbs|3ED=220
Manabarbs|4ED=200
Manabarbs|5ED=165
Manabarbs|6ED=128
Manabarbs|LEA=29508
Manabarbs|LEB=7508
Manabarbs|M12=36
Manabond|EXO=636
Manacles of Decay|APC=28
Manaforce Mace|CFX=18
Manaforge Cinder|SHM=17
Manakin|TMP=42
Manalith|M12=17
Manamorphose|SHM=265
Manaplasm|ALA=35
Mangara of Corondor|TSP=159
Mangara's Blessing|MIR=63
Mangara's Equity|MIR=66
Mangara's Tome|MIR=126
Maniacal Rage|CFX=14
Maniacal Rage|EXO=30
Maniacal Rage|INV=30
Manic Vandal|M11=14
Manic Vandal|M12=13
Manipulate Fate|INV=44
Mannichi, the Fevered Dream|BOK=39
Manor Gargoyle|ISD=33
Manor Skeleton|ISD=13
Manriki-Gusari|SOK=112
Manta Ray|WTH=45
Manta Riders|TMP=45
Mantis Engine|10E=20
Mantis Engine|UDS=42
Mantle of Leadership|PLC=20
Maralen of the Mornsong|MOR=82
Marauding Knight|INV=110
Maraxus of Keld|WTH=141
Marble Chalice|ALA=13
Marble Diamond|6ED=62
Marble Diamond|7ED=60
Marble Diamond|MIR=69
Marble Priest|LEG=160
Marble Titan|9ED=41
Marble Titan|TMP=114
March of Souls|PLS=122
March of the Machines|10E=51
March of the Machines|MRD=98
Marhault Elsdragon|CHR=57
Marhault Elsdragon|LEG=168
Marisi's Twinclaws|ARB=21
Maritime Guard|M11=13
Marjhan|HML=123
Mark for Death|GTC=21
Mark of Asylum|CFX=54
Mark of Eviction|RAV=21
Mark of Fury|UDS=30
Mark of Mutiny|M13=19
Mark of Mutiny|PC2=18
Mark of Mutiny|ZEN=26
Mark of Sakiko|BOK=25
Mark of the Oni|BOK=23
Mark of the Vampire|M13=14
Marker Beetles|UDS=30
Markov Blademaster|DKA=80
Markov Patrician|ISD=13
Markov Warlord|DKA=19
Maro|6ED=84
Maro|7ED=88
Maro|8ED=80
Maro|9ED=42
Maro|MIR=126
Marrow Bats|AVR=19
Marrow Chomper|ARB=21
Marrow Shards|NPH=19
Marrow-Gnawer|CHK=1071
Marsh Boa|PCY=30
Marsh Casualties|ZEN=20
Marsh Crocodile|PLS=44
Marsh Flats|ZEN=2201
Marsh Flitter|LRW=21
Marsh Gas|4ED=60
Marsh Gas|DRK=64
Marsh Goblins|DRK=60
Marsh Lurker|TMP=45
Marsh Threader|WWK=13
Marsh Viper|4ED=64
Marsh Viper|5ED=48
Marsh Viper|DRK=64
Marshal's Anthem|WWK=51
Marshaling Cry|FUT=14
Marshaling the Troops|PTK=8506
Marshdrinker Giant|EVE=19
Martial Coup|CFX=296
Martial Glory|GTC=14
Martial Law|RTR=42
Marton Stromgald|ICE=417
Martyr of Ashes|CSP=17
Martyr of Bones|CSP=14
Martyr of Frost|CSP=15
Martyr of Sands|CSP=74
Martyr of Spores|CSP=14
Martyr's Bond|COM=150
Martyr's Cause|ULG=46
Martyr's Cry|DRK=216
Martyrdom|ALL=42
Martyred Rusalka|GPT=19
Martyrs of Korlis|ATQ=172
Martyrs' Tomb|APC=40
Masako the Humorless|CHK=64
Mask of Avacyn|ISD=24
Mask of Intolerance|APC=78
Mask of Law and Grace|UDS=32
Mask of Memory|MRD=52
Mask of Riddles|ARB=27
Mask of the Mimic|STH=60
Masked Admirers|LRW=56
Masked Gorgon|JUD=72
Mass Appeal|AVR=19
Mass Calcify|SHM=104
Mass Hysteria|MRD=104
Mass Mutiny|PC2=73
Mass of Ghouls|10E=16
Mass of Ghouls|FUT=13
Mass Polymorph|M11=39
Massacre Wurm|MBS=297
Massacre|NMS=80
Massive Raid|GTC=14
Master Apothecary|ODY=164
Master Biomancer|GTC=1158
Master Decoy|8ED=32
Master Decoy|9ED=16
Master Decoy|TMP=42
Master Healer|7ED=82
Master Healer|8ED=82
Master Healer|9ED=37
Master Healer|UDS=80
Master of Arms|WTH=69
Master of Etherium|ALA=426
Master of the Hunt|LEG=3168
Master of the Pearl Trident|M13=263
Master of the Veil|LGN=36
Master Splicer|NPH=21
Master Thief|M12=17
Master Transmuter|CFX=580
Master Warcraft|COM=54
Master Warcraft|RAV=66
Master's Call|MBS=14
Masticore|UDS=632
Masumaro, First to Live|SOK=46
Matca Rioters|CFX=14
Matopi Golem|VIS=60
Matsu-Tribe Birdstalker|SOK=15
Matsu-Tribe Decoy|CHK=13
Matsu-Tribe Sniper|BOK=15
Maul Splicer|NPH=13
Mausoleum Guard|ISD=17
Mausoleum Turnkey|RAV=18
Maw of the Mire|ISD=13
Mawcor|7ED=84
Mawcor|TMP=117
Mayael the Anima|ALA=250
Mayael's Aria|ARB=238
Mayor of Avabruck|ISD=237
Maze of Ith|DRK=14004
Maze of Shadows|TMP=69
Meadowboon|MOR=19
Measure of Wickedness|SOK=23
Meddle|MIR=63
Meddle|ONS=38
Meddling Mage|ARB=242
Meddling Mage|PLS=560
Medicine Bag|EXO=42
Medicine Runner|SHM=14
Meditate|TMP=1632
Meekstone|2ED=2596
Meekstone|3ED=500
Meekstone|4ED=500
Meekstone|5ED=426
Meekstone|6ED=302
Meekstone|7ED=294
Meekstone|LEA=51412
Meekstone|LEB=13704
Megatherium|MMQ=80
Megatog|MRD=72
Meglonoth|CFX=57
Megrim|10E=64
Megrim|7ED=138
Megrim|8ED=112
Megrim|9ED=63
Megrim|STH=112
Meishin, the Mind Cage|SOK=50
Melancholy|PLC=14
Melee|ICE=60
Melesse Spirit|MIR=66
Melira's Keepers|MBS=17
Melira, Sylvok Outcast|NPH=97
Meloku the Clouded Mirror|CHK=171
Melt Terrain|SOM=12
Meltdown|USG=76
Melting|ICE=60
Memnarch|DST=832
Memnite|SOM=106
Memoricide|PRO=1040
Memoricide|SOM=51
Memory Crystal|EXO=138
Memory Erosion|ALA=170
Memory Erosion|COM=157
Memory Jar|ULG=588
Memory Lapse|5ED=54
Memory Lapse|6ED=34
Memory Lapse|7ED=38
Memory Lapse|HML=54
Memory Lapse|MIR=48
Memory Plunder|SHM=157
Memory Sluice|SHM=67
Memory's Journey|ISD=18
Menacing Ogre|ONS=72
Mending Hands|9ED=16
Mending Hands|BOK=14
Meng Huo's Horde|PTK=122
Meng Huo, Barbarian King|PTK=7364
Mental Agony|AVR=13
Mental Discipline|UDS=30
Mental Misstep|NPH=92
Mental Note|JUD=34
Mental Vapors|GTC=21
Mentor of the Meek|ISD=62
Mephidross Vampire|5DN=1190
Mephitic Ooze|DST=70
Mercadia's Downfall|MMQ=42
Mercadian Atlas|MMQ=98
Mercadian Bazaar|MMQ=76
Mercadian Lift|MMQ=80
Mercenaries|ICE=114
Mercenary Informer|PCY=80
Mercenary Knight|POR=2547
Merchant of Secrets|8ED=32
Merchant of Secrets|LGN=26
Merchant Scroll|8ED=222
Merchant Scroll|HML=333
Merchant Ship|ARN=1156
Merciless Eviction|GTC=191
Mercurial Chemister|RTR=41
Mercurial Kite|SCG=26
Mercy Killing|SHM=39
Merfolk Assassin|DRK=272
Merfolk Assassin|TSB=25
Merfolk Looter|10E=17
Merfolk Looter|7ED=54
Merfolk Looter|EXO=36
Merfolk Looter|M12=12
Merfolk Mesmerist|M12=13
